epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2042616903781891,3.313946485519409,0.001,0.44680851697921753,2.113914966583252
1,0.3950391113758087,2.289046287536621,0.001,0.5405585169792175,1.725424885749817
2,0.46429166197776794,1.9674232006072998,0.001,0.5671542286872864,1.5643128156661987
3,0.5248876214027405,1.730102300643921,0.001,0.573803186416626,1.459218144416809
4,0.5498585104942322,1.6322238445281982,0.001,0.5957446694374084,1.4358819723129272
5,0.5606791973114014,1.5525712966918945,0.001,0.616356372833252,1.380885362625122
6,0.5791576504707336,1.4710474014282227,0.001,0.6123670339584351,1.359177589416504
7,0.5996337532997131,1.4121626615524292,0.001,0.6017287373542786,1.422280192375183
8,0.6148603558540344,1.3372361660003662,0.001,0.6117021441459656,1.3696445226669312
9,0.6141168475151062,1.3294627666473389,0.001,0.623670220375061,1.355993390083313
10,0.6249375939369202,1.2783417701721191,0.001,0.6097074747085571,1.4042034149169922
11,0.6444148421287537,1.2248826026916504,0.001,0.6203457713127136,1.368470549583435
12,0.6509072780609131,1.1918895244598389,0.001,0.6323138475418091,1.2989788055419922
13,0.6702180504798889,1.1490304470062256,0.001,0.6130319237709045,1.329735279083252
14,0.6648909449577332,1.1464954614639282,0.001,0.636303186416626,1.3543363809585571
15,0.6620609164237976,1.142189383506775,0.001,0.625,1.3709794282913208
16,0.6990178227424622,1.0251983404159546,0.0005,0.6442819237709045,1.248350739479065
17,0.7043449282646179,0.9714047908782959,0.0005,0.654920220375061,1.2602695226669312
18,0.7169968485832214,0.9545091390609741,0.0005,0.6509308218955994,1.2738971710205078
19,0.7294822931289673,0.9107717275619507,0.0005,0.6522606611251831,1.261900544166565
20,0.7414683103561401,0.8593820929527283,0.00025,0.6569148898124695,1.239663004875183
21,0.7452971339225769,0.8304721713066101,0.00025,0.6509308218955994,1.2306842803955078
22,0.7477942109107971,0.8525769710540771,0.00025,0.6582446694374084,1.2285130023956299
23,0.7526219487190247,0.8190717697143555,0.00025,0.6602393388748169,1.233738660812378
24,0.7542866468429565,0.8116329312324524,0.00025,0.6555851101875305,1.2596358060836792
25,0.7639420628547668,0.7829224467277527,0.00025,0.6589095592498779,1.2422031164169312
26,0.7659397125244141,0.757103681564331,0.000125,0.6615691781044006,1.230370044708252
27,0.7737639546394348,0.7329009175300598,0.000125,0.6628989577293396,1.2335776090621948
28,0.7712668776512146,0.7445618510246277,0.000125,0.6635638475418091,1.233167290687561
29,0.7797569632530212,0.7159997820854187,6.25e-05,0.6628989577293396,1.2412629127502441
